Imie,Nazwisko,Pesel,Czy_Absolwent
Eric,Brown,3702012911,1
Patrick,Brown,8906179470,1
Katherine,Russo,0607193138,1
Andrew,Black,7708092779,0
Anna,Franklin,7701099162,0
Craig,Torres,4604261733,0
Erin,Cook,8003209372,1
Nicholas,Foster,9103224894,1
Chris,Hernandez,3611117150,1
Dana,Gonzales,6607061611,0
Craig,Gould,3909021817,0
Heather,Cruz,7106083035,0
Tonya,Davis,0509109063,1
David,Morgan,9707085023,1
Devon,Short,3606246750,1
Jonathan,Hamilton,5407185637,1
Rachel,Scott,5210073360,1
Tanya,Davis,0111079489,1
Michael,Summers,2306153288,0
Samantha,May,6612205766,0
Mary,Morrison,3707093753,1
Brian,Russell,2112045421,0
Crystal,Smith,6312027272,1
Sarah,Walton,7204032862,0
Alexander,Fuller,5005276486,1
Amber,Chang,9709173333,1
Michael,Flores,7104175108,1
Vernon,Lawson,7608156776,0
Brandon,Spears,2709094862,0
Brandon,Richards,8406138196,1
Melissa,Riley,1102204868,1
Stefanie,Munoz,2301182445,1
Allen,Douglas,6812174718,1
Desiree,Hill,2012275827,0
Alan,Garcia,6803259177,0
April,Mckinney,2810074558,1
Anne,Morgan,7912205106,0
Tammy,Wheeler,3111245327,0
Lisa,Ingram,9011058558,0
Kaitlin,Fields,1502197358,1
David,Jordan,5410118787,0
John,Clark,1507283897,1
Lance,James,3309129780,0
Jay,Khan,8908088525,1
Roy,Nielsen,8903262502,1
Samuel,Jones,5707226901,1
Brandon,Bass,7808164496,1
Ellen,Price,5309046211,1
Kari,Aguilar,8711041495,0
Benjamin,Clark,6510046978,0
Ian,Romero,4908065789,1
Jeremy,Garcia,1212289344,1
Ann,Shelton,2203064076,1
Brenda,Williams,1705098525,1
Melissa,Anderson,9901055659,0
Jennifer,Chen,4711147303,0
Karen,Malone,2508184235,0
Monica,Stokes,8807213853,0
Stanley,Jarvis,8903160548,1
Jennifer,Sanchez,3103064832,0
Deborah,Walton,3207200589,0
Jennifer,Kane,8005118182,1
Joshua,King,2711081028,0
Christopher,White,1908116909,1
Jacob,Cochran,3202174492,1
Lindsey,Mendoza,1806180098,0
David,Griffin,1003269191,0
Nicole,Mckenzie,6504158331,1
Andrew,Allen,8612145373,1
Barbara,Miller,0705187430,0
Kelly,Shaffer,2209098713,1
Paul,Johnson,7304200759,0
Nathaniel,Steele,1210035289,0
Kimberly,Charles,3105221488,1
Kevin,Hill,9202204389,0
Joshua,Walters,4801270082,0
Aaron,Charles,9812200189,0
Cory,Weaver,8909113427,1
Paul,Caldwell,1501266896,1
Krista,Hatfield,4111063266,0
Kyle,Fisher,6205060712,0
Diane,Gibson,1302099722,0
Robert,Wilson,6106263940,0
Jeff,Bartlett,6608160651,0
Deanna,Chandler,0405180132,1
Scott,Hall,9310251767,1
Jessica,Young,2906247897,1
Oscar,Barnes,6104157610,0
Anna,Edwards,1101216827,1
Lisa,Banks,6005224727,1
Lauren,Moore,8805269931,1
Mark,Cole,9107223029,1
Chelsey,Campbell,2804138654,1
Ryan,Austin,6410012099,0
Heather,Perez,9807014831,0
Alexander,Huber,1302055915,0
Heidi,Thomas,0803189918,1
Hunter,Blair,1812038971,0
Aaron,Harris,1104108941,1
Kristen,Martinez,5410051571,1
Kimberly,Gross,1309122048,0
Michael,Caldwell,5106207618,1
Frederick,Chase,6108289125,1
James,Moore,8511133527,0
Travis,Whitehead,7710277319,0
Raven,Alexander,7104168650,1
Krystal,Perry,3104040395,0
Adrian,Nelson,8004024149,0
Cheyenne,Cole,7902041999,1
Russell,Rodriguez,2006085460,1
Pamela,Johnson,5110221585,0
Elizabeth,Lawrence,0905222367,0
Susan,Nelson,3712072019,0
Megan,Kent,1506141581,0
Cody,Cole,4402171794,0
Todd,Gonzalez,2207266822,0
Amanda,Mitchell,9706169785,1
Roger,Peterson,3606287739,1
Matthew,Holden,8104080344,0
Shaun,Contreras,1907158776,0
Michelle,Kelly,5802154738,1
Bianca,Berg,2905214320,0
Alan,Garcia,1008194495,0
Jennifer,Rice,1501171693,0
Haley,Watson,7209113359,1
Aaron,Pena,4506257453,0
Jennifer,Moore,4411215945,0
Ellen,Carrillo,3301030428,0
Amy,Knox,0906144114,0
William,Molina,1501214098,1
Kaitlin,Lopez,4908286992,1
Amber,Jenkins,1207260372,0
Audrey,Dickerson,2112018142,1
Kimberly,Phillips,3107159257,0
Alexandra,Kidd,4109248210,1
Jennifer,Lester,1304066809,0
Donna,Patrick,4806263073,1
Robert,Mack,1601173481,0
Nicole,Cooper,0612063328,1
Jennifer,Gordon,8303128423,1
Sheila,Phillips,7304046998,1
Annette,Mccormick,1406018437,1
Nathaniel,George,7811246502,0
Michael,Miller,7004084154,0
Brianna,Bradford,1410274803,1
Scott,Castaneda,2507062809,0
